iter	Logloss
0	0.6750287682
1	0.660683766
2	0.6471626352
3	0.6343425974
4	0.6209812966
5	0.6090303239
6	0.5955391649
7	0.5855081004
8	0.5747719899
9	0.564282498
10	0.5513343129
11	0.5439874383
12	0.5351967238
13	0.5256023748
14	0.5193946068
15	0.5118521482
16	0.5045419714
17	0.4986730975
18	0.4933532744
19	0.488639378
20	0.4829194192
21	0.4773818284
22	0.4734846053
23	0.4695156387
24	0.4641710358
25	0.4605446507
26	0.4565790765
27	0.451889606
28	0.4487179903
29	0.444954018
30	0.4422897405
31	0.4399386038
32	0.4375210629
33	0.4349340455
34	0.4325707843
35	0.4304373858
36	0.4275684089
37	0.4254422379
38	0.4235424486
39	0.4200241509
40	0.4172387471
41	0.4142699428
42	0.4117772954
43	0.4090281174
44	0.4075592026
45	0.4061945698
46	0.4044984769
47	0.4025574468
48	0.4012334943
49	0.3999706949
50	0.3973916719
51	0.3957178808
52	0.3943190872
53	0.3932306908
54	0.3921301405
55	0.3910068753
56	0.390176396
57	0.3887978393
58	0.3879852959
59	0.387076937
60	0.3861391963
61	0.384592874
62	0.3838338432
63	0.3828612042
64	0.381034309
65	0.379257947
66	0.3782461617
67	0.3774337658
68	0.3757672612
69	0.3748932106
70	0.3740668613
71	0.3733505463
72	0.3727668331
73	0.3720897234
74	0.3713891613
75	0.370742466
76	0.3699643784
77	0.3688344757
78	0.3682317351
79	0.3672942304
80	0.3660358855
81	0.3654338824
82	0.3646830526
83	0.3642174862
84	0.3630798841
85	0.362663907
86	0.3621515834
87	0.3613623448
88	0.3609468986
89	0.3605522204
90	0.3599357918
91	0.3594674525
92	0.3588562454
93	0.3584009155
94	0.3579792154
95	0.3573952072
96	0.3562914414
97	0.355467983
98	0.3549141826
99	0.3544771426
100	0.3540368576
101	0.3536789361
102	0.3532723989
103	0.3527810201
104	0.3523282862
105	0.3514615811
106	0.351028848
107	0.3506337862
108	0.350139841
109	0.3497989999
110	0.3486927562
111	0.3482945674
112	0.3479767362
113	0.3477022697
114	0.3473513692
115	0.3465775591
116	0.3461796063
117	0.3459235478
118	0.3452532525
119	0.3444888528
120	0.3441589857
121	0.3436353046
122	0.3430626834
123	0.3419976509
124	0.3415837682
125	0.3411743695
126	0.3408513463
127	0.3405404476
128	0.3398708308
129	0.3396275752
130	0.3392868521
131	0.3389440641
132	0.3383721508
133	0.3381247947
134	0.3378262269
135	0.3370669601
136	0.3362674261
137	0.3359092982
138	0.3356017329
139	0.3354242324
140	0.335054452
141	0.3348565081
142	0.3345331899
143	0.3343045662
144	0.3340268548
145	0.3336802612
146	0.3333120738
147	0.3328140576
148	0.3324492331
149	0.3324419467
150	0.3318520385
151	0.3314774791
152	0.3311893542
153	0.330963769
154	0.3307617541
155	0.330513631
156	0.3303338001
157	0.3301940003
158	0.3299677366
159	0.3296689623
160	0.3293622525
161	0.3291217994
162	0.3288959192
163	0.328746709
164	0.3284890279
165	0.3280275915
166	0.3277960474
167	0.3272587964
168	0.3266147855
169	0.3263400241
170	0.3260761185
171	0.3258160775
172	0.3256743898
173	0.3253873269
174	0.3251539832
175	0.3248888682
176	0.3246510996
177	0.3241079781
178	0.3238042183
179	0.3234548518
180	0.3231890288
181	0.3230427981
182	0.3227023405
183	0.3223840668
184	0.3221447642
185	0.3217592899
186	0.3215945038
187	0.3213552601
188	0.3211309729
189	0.3208865668
190	0.3207449086
191	0.3205519207
192	0.3202777787
193	0.3200828733
194	0.319784571
195	0.3195826741
196	0.3194052031
197	0.3192216551
198	0.3190464851
199	0.3188398978
200	0.3182027899
201	0.3179322764
202	0.3177667233
203	0.3175435276
204	0.317296437
205	0.3169683398
206	0.3167298042
207	0.3165901225
208	0.3163284884
209	0.3162061231
210	0.3159932523
211	0.3157548937
212	0.3156085155
213	0.315429127
214	0.3151873464
215	0.3148804006
216	0.314635847
217	0.314456783
218	0.3142341182
219	0.3140060255
220	0.3139749327
221	0.3137259836
222	0.3134642611
223	0.3133242549
224	0.3128423161
225	0.3125345443
226	0.312328193
